Subject,Page Label,Count,Label,OXY,AIR,VAC,N2O,WAGD,CO2,NIT,INA,COMMENT,ROOM,ADDER
AREA ALARM PANEL,19,1,,X,X,X,,,,,,AAP-02-02,,
AREA ALARM PANEL,21,1,,X,X,X,,,,,,AAP-02-03,,
AREA ALARM PANEL,23,1,,X,X,X,,,,,,AAP-02-01,,
AREA ALARM PANEL,26,1,,X,X,X,,,,,,AAP-03-02,,
AREA ALARM PANEL,28,1,,X,X,X,,,,,,AAP-03-03,,
AREA ALARM PANEL,30,1,,X,X,X,,,,,,AAP-03-01,,
AREA ALARM PANEL,33,1,,X,X,X,,,,,,AAP-04-02,,
AREA ALARM PANEL,35,1,,X,X,X,,,,,,AAP-04-03,,
AREA ALARM PANEL,37,1,,X,X,X,,,,,,AAP-04-01,,
AREA ALARM PANEL,40,1,,X,X,X,,,,,,AAP-05-02,,
AREA ALARM PANEL,42,1,,X,X,X,,,,,,AAP-05-03,,
AREA ALARM PANEL,44,1,,X,X,X,,,,,,AAP-05-01,,
AREA ALARM PANEL,47,1,,X,X,X,,,,,,AAP-06-02,,
AREA ALARM PANEL,49,1,,X,X,X,,,,,,AAP-06-03,,
AREA ALARM PANEL,51,1,,X,X,X,,,,,,AAP-06-01,,
AREA ALARM PANEL,54,1,,X,X,X,,,,,,AAP-07-02,,
AREA ALARM PANEL,56,1,,X,X,X,,,,,,AAP-07-03,,
AREA ALARM PANEL,58,1,,X,X,X,,,,,,AAP-07-01,,
AREA ALARM PANEL,61,1,,X,X,X,,,,,,AAP-08-02,,
AREA ALARM PANEL,67,1,,X,X,X,,,,,,AAP-08-01,,
AREA ALARM PANEL ADDER,16,1,,X,,X,,,,,,AAP-01-01,,ADDER OPTION 1
BALL VALVE ,5,3,"1-1/2""",,,,,,,,,,,
BALL VALVE ,6,2,"1-1/2""",,,,,,,,,,,
BALL VALVE ,6,2,"4""",,,,,,,,,,,
BALL VALVE ,6,1,"1""",,,,,,,,,,,
BALL VALVE ,7,2,"1-1/4""",,,,,,,,,,,
BALL VALVE ,7,1,"1-1/2""",,,,,,,,,,,
BALL VALVE ,8,3,"2""",,,,,,,,,,,
BALL VALVE ,12,2,"1-1/4""",,,,,,,,,,,
BALL VALVE ,14,1,"1-1/2""",,,,,,,,,,,
BALL VALVE ,14,2,"1-1/4""",,,,,,,,,,,
BALL VALVE ,14,3,"3/4""",,,,,,,,,,,
BALL VALVE ,15,1,"2""",,,,,,,,,,,
BALL VALVE ,16,2,"1""",,,,,,,,,,,
BALL VALVE ,16,1,"3/4""",,,,,,,,,,,
BALL VALVE ,16,1,"2""",,,,,,,,,,,
BALL VALVE ,16,4,"1-1/4""",,,,,,,,,,,
BALL VALVE ,19,2,"1/2""",,,,,,,,,,,
BALL VALVE ,19,3,"3/4""",,,,,,,,,,,
BALL VALVE ,19,1,"1""",,,,,,,,,,,
BALL VALVE ,21,5,"3/4""",,,,,,,,,,,
BALL VALVE ,21,2,"1""",,,,,,,,,,,
BALL VALVE ,21,2,"1/2""",,,,,,,,,,,
BALL VALVE ,23,4,"1/2""",,,,,,,,,,,
BALL VALVE ,23,8,"3/4""",,,,,,,,,,,
BALL VALVE ,23,3,"1""",,,,,,,,,,,
BALL VALVE ,26,5,"3/4""",,,,,,,,,,,
BALL VALVE ,26,2,"1""",,,,,,,,,,,
BALL VALVE ,26,2,"1/2""",,,,,,,,,,,
BALL VALVE ,28,4,"3/4""",,,,,,,,,,,
BALL VALVE ,28,3,"1""",,,,,,,,,,,
BALL VALVE ,28,2,"1/2""",,,,,,,,,,,
BALL VALVE ,30,4,"1/2""",,,,,,,,,,,
BALL VALVE ,30,8,"3/4""",,,,,,,,,,,
BALL VALVE ,30,3,"1""",,,,,,,,,,,
BALL VALVE ,33,5,"3/4""",,,,,,,,,,,
BALL VALVE ,33,2,"1""",,,,,,,,,,,
BALL VALVE ,33,2,"1/2""",,,,,,,,,,,
BALL VALVE ,35,6,"3/4""",,,,,,,,,,,
BALL VALVE ,35,3,"1""",,,,,,,,,,,
BALL VALVE ,37,8,"3/4""",,,,,,,,,,,
BALL VALVE ,37,4,"1/2""",,,,,,,,,,,
BALL VALVE ,37,3,"1""",,,,,,,,,,,
BALL VALVE ,40,5,"3/4""",,,,,,,,,,,
BALL VALVE ,40,2,"1""",,,,,,,,,,,
BALL VALVE ,40,2,"1/2""",,,,,,,,,,,
BALL VALVE ,42,5,"3/4""",,,,,,,,,,,
BALL VALVE ,42,2,"1""",,,,,,,,,,,
BALL VALVE ,42,2,"1/2""",,,,,,,,,,,
BALL VALVE ,44,4,"1/2""",,,,,,,,,,,
BALL VALVE ,44,8,"3/4""",,,,,,,,,,,
BALL VALVE ,44,3,"1""",,,,,,,,,,,
BALL VALVE ,47,5,"3/4""",,,,,,,,,,,
BALL VALVE ,47,2,"1""",,,,,,,,,,,
BALL VALVE ,47,2,"1/2""",,,,,,,,,,,
BALL VALVE ,49,5,"3/4""",,,,,,,,,,,
BALL VALVE ,49,2,"1""",,,,,,,,,,,
BALL VALVE ,49,2,"1/2""",,,,,,,,,,,
BALL VALVE ,51,4,"1/2""",,,,,,,,,,,
BALL VALVE ,51,8,"3/4""",,,,,,,,,,,
BALL VALVE ,51,3,"1""",,,,,,,,,,,
BALL VALVE ,54,3,"3/4""",,,,,,,,,,,
BALL VALVE ,54,2,"1""",,,,,,,,,,,
BALL VALVE ,54,4,"1/2""",,,,,,,,,,,
BALL VALVE ,56,5,"3/4""",,,,,,,,,,,
BALL VALVE ,56,3,"1""",,,,,,,,,,,
BALL VALVE ,56,2,"1/2""",,,,,,,,,,,
BALL VALVE ,58,4,"1/2""",,,,,,,,,,,
BALL VALVE ,58,8,"3/4""",,,,,,,,,,,
BALL VALVE ,58,3,"1""",,,,,,,,,,,
BALL VALVE ,61,4,"3/4""",,,,,,,,,,,
BALL VALVE ,61,2,"1/2""",,,,,,,,,,,
BALL VALVE ,61,3,"1""",,,,,,,,,,,
BALL VALVE ,62,1,"1""",,,,,,,,,,,
BALL VALVE ,64,1,"1""",,,,,,,,,,,
BALL VALVE ,66,1,"1-1/4""",,,,,,,,,,,
BALL VALVE ,67,4,"1/2""",,,,,,,,,,,
BALL VALVE ,67,8,"3/4""",,,,,,,,,,,
BALL VALVE ,67,6,"1""",,,,,,,,,,,
BALL VALVE ,67,1,"1-1/4""",,,,,,,,,,,
BALL VALVE ,73,2,"1-1/4""",,,,,,,,,,,
BALL VALVE ADDER,63,1,"1""",,,,,,,,,,,ADDER OPTION 4
CHECK VALVE ,8,2,"2""",,,,,,,,,,,
Count Measurement,30,4,,1,1,1,,,,,,MGO-03-01,,
Count Measurement,32,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,33,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,34,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,35,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,36,8,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,37,4,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,39,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,40,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,41,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,42,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,43,8,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,44,4,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,46,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,47,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,48,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,49,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,50,8,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,51,4,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,53,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,54,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,55,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,56,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,57,8,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,58,4,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,60,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,61,6,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,66,8,,1,1,1,,,,,,MGO-04-01,,
Count Measurement,67,4,,1,1,1,,,,,,MGO-04-01,,
EOSC,8,1,"2""",,,,,,,,,,,
HEADWALLS NO BID,18,5,,1,1,1,,,,,,MGO-02-01,,
HEADWALLS NO BID,19,6,,1,1,1,,,,,,MGO-02-01,,
HEADWALLS NO BID,20,5,,1,1,1,,,,,,MGO-02-01,,
HEADWALLS NO BID,21,5,,1,1,1,,,,,,MGO-02-01,,
HEADWALLS NO BID,22,7,,1,1,1,,,,,,MGO-02-01,,
HEADWALLS NO BID,23,4,,1,1,1,,,,,,MGO-02-01,,
HEADWALLS NO BID,25,6,,1,1,1,,,,,,MGO-03-01,,
HEADWALLS NO BID,26,6,,1,1,1,,,,,,MGO-03-01,,
HEADWALLS NO BID,27,6,,1,1,1,,,,,,MGO-03-01,,
HEADWALLS NO BID,28,6,,1,1,1,,,,,,MGO-03-01,,
HEADWALLS NO BID,29,8,,1,1,1,,,,,,MGO-03-01,,
MASTER ALARM PANEL,5,1,40 POINTS + 4 CIM,,,,,,,,,,,
MASTER ALARM PANEL,12,1,40 POINTS ETHERNET,,,,,,,,,,,
PRESSURE SWITCH,6,1,VAC,,,,,,,,,,,
PRESSURE SWITCH,8,2,OXY,,,,,,,,,,,
PRESSURE SWITCH,73,1,AIR,,,,,,,,,,,
PRESSURE SWITCH,6,1,INA,,,,,,,,,,,
Text Box,8,0,,,,,,,,,,,,
Text Box,19,0,,,,,,,,,,,,
Text Box,26,0,,,,,,,,,,,,
Text Box,37,0,,,,,,,,,,,,
Text Box,44,0,,,,,,,,,,,,
Text Box,51,0,,,,,,,,,,,,
Text Box,58,0,,,,,,,,,,,,
Text Box,67,0,,,,,,,,,,,,
Text Box,16,0,,,,,,,,,,,,
Text Box,16,0,,,,,,,,,,,,
Text Box,63,0,,,,,,,,,,,,
WALL OUTLET ADDER,14,2,,1,1,1,,,,,,,,ADDER OPTION 1
WALL OUTLET ADDER,15,10,DISS,1,1,1,,,,,,,,ADDER OPTION 1
ZONE VALVE BOX,16,1,,"1/2""",,"3/4""",,,,,,ZVB-1-01,,
ZONE VALVE BOX,19,1,,"3/4""","3/4""","1""",,,,,,ZVB-02-02,,
ZONE VALVE BOX,21,1,,"3/4""","3/4""","1""",,,,,,ZVB-02-03,,
ZONE VALVE BOX,23,1,,"3/4""","3/4""","1""",,,,,,ZVB-02-01,,
ZONE VALVE BOX,26,1,,"3/4""","3/4""","1""",,,,,,ZVB-03-02,,
ZONE VALVE BOX,28,1,,"3/4""","3/4""","1""",,,,,,ZVB-03-03,,
ZONE VALVE BOX,30,1,,"3/4""","3/4""","1""",,,,,,ZVB-03-01,,
ZONE VALVE BOX,33,1,,"3/4""","3/4""","1""",,,,,,ZVB-04-02,,
ZONE VALVE BOX,35,1,,"3/4""","3/4""","1""",,,,,,ZVB-04-03,,
ZONE VALVE BOX,37,1,,"3/4""","3/4""","1""",,,,,,ZVB-04-01,,
ZONE VALVE BOX,40,1,,"3/4""","3/4""","1""",,,,,,ZVB-05-02,,
ZONE VALVE BOX,42,1,,"3/4""","3/4""","1""",,,,,,ZVB-05-03,,
ZONE VALVE BOX,44,1,,"3/4""","3/4""","1""",,,,,,ZVB-05-01,,
ZONE VALVE BOX,47,1,,"3/4""","3/4""","1""",,,,,,ZVB-06-02,,
ZONE VALVE BOX,49,1,,"3/4""","3/4""","1""",,,,,,ZVB-06-03,,
ZONE VALVE BOX,51,1,,"3/4""","3/4""","1""",,,,,,ZVB-06-01,,
ZONE VALVE BOX,54,1,,"3/4""","3/4""","1""",,,,,,ZVB-07-02,,
ZONE VALVE BOX,56,1,,"3/4""","3/4""","1""",,,,,,ZVB-07-03,,
ZONE VALVE BOX,58,1,,"3/4""","3/4""","1""",,,,,,ZVB-07-01,,
ZONE VALVE BOX,61,1,,"3/4""","3/4""","1""",,,,,,ZVB-08-02,,
ZONE VALVE BOX,67,1,,"3/4""","3/4""","1""",,,,,,ZVB-08-01,,
ZONE VALVE BOX ALT,19,1,,"1/2""","1/2""","1""",,,,,,ZVB-02-02,,ALT OPTION 2
ZONE VALVE BOX ALT,16,1,,"1/2""","1/2""","1""",,,,,,ZVB-1-01,,ALT OPTION 1
ZONE VALVE BOX ALT,21,1,,"1/2""","1/2""","1""",,,,,,ZVB-02-03,,ALT OPTION 2
ZONE VALVE BOX ALT,23,1,,"1/2""","1/2""","1""",,,,,,ZVB-02-01,,ALT OPTION 2
ZONE VALVE BOX ALT,26,1,,"3/4""","3/4""","1""",,,,,,ZVB-03-02,,ALT OPTION 3
ZONE VALVE BOX ALT,28,1,,"1/2""","1/2""","1""",,,,,,ZVB-03-03,,ALT OPTION 3
ZONE VALVE BOX ALT,30,1,,"1/2""","1/2""","1""",,,,,,ZVB-03-01,,ALT OPTION 3
ZONE VALVE BOX ALT,33,1,ALT OPTION 4,"1/2""","1/2""","1""",,,,,,ZVB-04-02,,
ZONE VALVE BOX ALT,35,1,ALT OPTION 4,"1/2""","1/2""","1""",,,,,,ZVB-04-03,,
ZONE VALVE BOX ALT,37,1,ALT OPTION 4,"1/2""","1/2""","1""",,,,,,ZVB-04-01,,
ZONE VALVE BOX ALT,40,1,ALT OPTION 5,"1/2""","1/2""","1""",,,,,,ZVB-05-02,,
ZONE VALVE BOX ALT,42,1,ALT OPTION 5,"1/2""","1/2""","1""",,,,,,ZVB-05-03,,
ZONE VALVE BOX ALT,44,1,ALT OPTION 5,"1/2""","1/2""","1""",,,,,,ZVB-05-01,,
ZONE VALVE BOX ALT,47,1,ALT OPTION 6,"1/2""","1/2""","1""",,,,,,ZVB-06-02,,
ZONE VALVE BOX ALT,49,1,ALT OPTION 6,"1/2""","1/2""","1""",,,,,,ZVB-06-03,,
