Subject,Page Label,Count,Label,OXY,AIR,VAC,N2O,WAGD,CO2,NIT,INA,COMMENT,ROOM
AREA ALARM PANEL ETHERNET,2,2,,XX,,XX,,,,,,"AAP-RN_1, AAP-RN_2",
AREA ALARM PANEL ETHERNET ALT,2,2,,X,,X,,,,,,"AAP-RN_1, AAP-RN_2",ALT OPTION ONE
BALL VALVE,2,1,"1-1/4""",,,,,,,,,,
BALL VALVE ADDER,2,1,"3/4""",,,,,,,,,ADDER OPTION 1,
MANIFOLD,2,1,OXY 3X3 STRAIGHT,,,,,,,,,,
MASTER ALARM PANEL,2,1,20 POINTS ETHERNET,,,,,,,,,,
MASTER ALARM PANEL ADDER,2,1,20 POINTS ETHERNET,,,,,,,,,,
PRESSURE SWITCH,2,1,VAC,,,,,,,,,,
PRESSURE SWITCH,2,1,OXY,,,,,,,,,,
Text Box,2,0,,,,,,,,,,,
Text Box,2,0,,,,,,,,,,,
Text Box,2,0,,,,,,,,,,,
WALL OUTLETS,2,4,,1,,1,,,,,,,
WALL OUTLETS,2,3,,1,,,,,,,,,
ZONE VALVE BOX SENSOR,2,4,,"3/4""",,"1""",,,,,,"ZVB-RN_1, ZVB-RN_2, ZVB-RN_3, ZVB-RN_4",
